time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-26 11:50:26.411	WT901BLE68(96416FE28A17)	0.491	-0.425	0.807	0.671	-1.404	-5.798	-31.07	-25.58	-156.74	-19.992	-18.816	-29.008	-0.13528	0.26331	-0.21576	0.93042	23.3	13111	30
2024-12-26 11:50:26.502	WT901BLE68(96416FE28A17)	0.354	-0.454	0.883	-9.888	-4.272	0.610	-31.13	-25.89	-156.99	-19.992	-18.816	-29.008	-0.12808	0.26398	-0.21387	0.93170	23.3	13111	30
2024-12-26 11:50:26.621	WT901BLE68(96416FE28A17)	0.463	-0.453	0.797	-8.728	0.671	-6.104	-32.06	-26.09	-157.02	-19.992	-18.816	-29.008	-0.12808	0.26398	-0.21387	0.93170	23.3	13111	30
2024-12-26 11:50:26.685	WT901BLE68(96416FE28A17)	0.330	-0.456	0.825	-6.836	-0.671	-9.521	-32.10	-26.29	-158.12	-19.992	-18.620	-29.008	-0.12808	0.26398	-0.21387	0.93170	23.3	13111	30
2024-12-26 11:50:26.801	WT901BLE68(96416FE28A17)	0.492	-0.457	0.788	-6.287	-5.981	-19.653	-32.27	-27.39	-158.85	-19.992	-18.620	-29.008	-0.12808	0.26398	-0.21387	0.93170	23.3	13111	30
2024-12-26 11:50:26.890	WT901BLE68(96416FE28A17)	0.520	-0.408	0.794	2.441	7.019	-34.424	-31.01	-28.62	-161.70	-19.992	-18.620	-29.008	-0.07520	0.27518	-0.21469	0.93402	23.3	13111	30
2024-12-26 11:50:27.13	WT901BLE68(96416FE28A17)	0.445	-0.398	0.756	5.066	1.282	-24.414	-28.92	-29.26	-165.01	-19.992	-18.620	-29.008	-0.07520	0.27518	-0.21469	0.93402	23.3	13111	30
2024-12-26 11:50:27.101	WT901BLE68(96416FE28A17)	0.538	-0.377	0.668	22.278	-5.127	-25.513	-26.35	-30.16	-167.27	-18.718	-23.716	-29.400	-0.07520	0.27518	-0.21469	0.93402	23.3	13111	30
2024-12-26 11:50:27.222	WT901BLE68(96416FE28A17)	0.514	-0.285	0.801	39.246	-0.244	-26.855	-21.71	-31.20	-169.97	-18.718	-23.716	-29.400	-0.07520	0.27518	-0.21469	0.93402	23.3	13111	30
2024-12-26 11:50:27.312	WT901BLE68(96416FE28A17)	0.458	-0.221	0.847	40.222	6.409	-27.649	-16.34	-31.88	-172.86	-18.718	-23.716	-29.400	-0.01825	0.27911	-0.11356	0.95331	23.3	13111	30
